TKR,C/P,STRIKE,OPTKR,EXPDAY,lag_1_optkr,lag_1_stk,lag_1_pct_chg,lag_0_optkr,lag_0_stk,lag_0_pct_chg,lead_0_optkr,lead_0_stk,lead_0_pct_chg,lead_1_optkr,lead_1_stk,lead_1_pct_chg
AMD,C,81.63,"",2021-06-18,AMD   210618C00080000,80,2.03749999999999,AMD   210618C00081000,81,0.777777777777772,AMD   210618C00082000,82,-0.451219512195127,AMD   210618C00082500,82.5,-1.05454545454546
AMD,P,81.63,"",2021-06-18,AMD   210618P00079000,79,3.32911392405063,AMD   210618P00080000,80,2.03749999999999,AMD   210618P00082500,82.5,-1.05454545454546,AMD   210618P00085000,85,-3.96470588235295
AMD,C,81.63,"",2021-07-16,AMD   210716C00077500,77.5,5.32903225806451,AMD   210716C00080000,80,2.03749999999999,AMD   210716C00082500,82.5,-1.05454545454546,AMD   210716C00085000,85,-3.96470588235295
AMD,P,81.63,"",2021-07-16,AMD   210716P00077500,77.5,5.32903225806451,AMD   210716P00080000,80,2.03749999999999,AMD   210716P00082500,82.5,-1.05454545454546,AMD   210716P00085000,85,-3.96470588235295
AMD,C,81.63,"",2021-08-20,AMD   210820C00077500,77.5,5.32903225806451,AMD   210820C00080000,80,2.03749999999999,AMD   210820C00082500,82.5,-1.05454545454546,AMD   210820C00085000,85,-3.96470588235295
AMD,P,81.63,"",2021-08-20,AMD   210820P00077500,77.5,5.32903225806451,AMD   210820P00080000,80,2.03749999999999,"",236.88,-65.5395136778116,AMGN  210618C00250000,250,-67.348
AMGN,C,236.88,"",2021-06-18,AMD   210820P00080000,80,196.1,"",81.63,190.187431091511,AMGN  210618C00250000,250,-5.24799999999999,AMGN  210618C00265000,265,-10.611320754717
AMGN,C,236.88,"",2021-07-16,AMGN  210618C00250000,250,-5.24799999999999,AMGN  210618C00265000,265,-10.611320754717,AMGN  210716C00250000,250,-5.24799999999999,AMGN  210716P00220000,220,7.67272727272728
AMGN,P,236.88,"",2021-07-16,AMGN  210716C00250000,250,-5.24799999999999,AMGN  210716P00220000,220,7.67272727272728,AMGN  210716P00240000,240,-1.29999999999999,"",1.77,13283.0508474576
AMPE,C,1.77,"",2021-06-18,"",236.88,-99.2527862208713,AMGN  210716P00240000,240,-99.2625,AMPE  210618C00002000,2,-11.5,AMPE  210716C00001500,1.5,18
